state_n,computed_energy,exact_energy_n_minus_0p3,error,absolute_error
0,-0.299999999999359,-0.3,6.41209307872259e-13,6.41209307872259e-13
1,0.70000000000053,0.7,5.29798427351125e-13,5.29798427351125e-13
2,1.70000000000042,1.7,4.18109991073834e-13,4.18109991073834e-13
3,2.70000000000031,2.7,3.07309733216243e-13,3.07309733216243e-13
4,3.70000000000061,3.7,6.06625860655186e-13,6.06625860655186e-13
5,4.70000000000049,4.7,4.9471537977297e-13,4.9471537977297e-13
6,5.70000000000038,5.7,3.84581255730154e-13,3.84581255730154e-13
7,6.70000000000027,6.7,2.70894418008538e-13,2.70894418008538e-13
8,7.70000000000016,7.7,1.60760293965723e-13,1.60760293965723e-13
9,8.70000000000046,8.7,4.61852778244065e-13,4.61852778244065e-13
