state_n,computed_energy,exact_energy_n_minus_0p3,error,absolute_error
0,-0.299999999106043,-0.3,8.93957075032148e-10,8.93957075032148e-10
1,0.700000027032391,0.7,2.7032390992332e-08,2.7032390992332e-08
2,1.70000077922008,1.7,7.79220084679011e-07,7.79220084679011e-07
3,2.70000733881822,2.7,7.33881821490812e-06,7.33881821490812e-06
4,3.70009067669707,3.7,9.06766970740769e-05,9.06766970740769e-05
5,4.7004702807042,4.7,0.000470280704203851,0.000470280704203851
6,5.70320274937969,5.7,0.00320274937968801,0.00320274937968801
7,6.71059368592585,6.7,0.0105936859258522,0.0105936859258522
8,7.74286696712279,7.7,0.0428669671227935,0.0428669671227935
9,8.79710475625623,8.7,0.0971047562562291,0.0971047562562291
