state_n,computed_energy,exact_energy_n_minus_0p3,error,absolute_error
0,-0.299999999999994,-0.3,6.38378239159465e-15,6.38378239159465e-15
1,0.700000000000012,0.7,1.19904086659517e-14,1.19904086659517e-14
2,1.70000000000002,1.7,1.70974345792274e-14,1.70974345792274e-14
3,2.70000000000002,2.7,2.35367281220533e-14,2.35367281220533e-14
4,3.70000000000003,3.7,2.79776202205539e-14,2.79776202205539e-14
5,4.7000000000002,4.7,1.98063787593128e-13,1.98063787593128e-13
6,5.70000000000004,5.7,4.17443857259059e-14,4.17443857259059e-14
7,6.69999999999988,6.7,-1.16351372980716e-13,1.16351372980716e-13
8,7.70000000000005,7.7,5.06261699229071e-14,5.06261699229071e-14
9,8.6999999999999,8.7,-1.03028696685215e-13,1.03028696685215e-13
