n,numerical_energy,exact_energy,signed_error,absolute_error,c_norm,coordinate_norm
0,-0.29999999999953,-0.3,4.69957406323829e-13,4.69957406323829e-13,1,1
1,0.699999999999736,0.7,-2.63788990650937e-13,2.63788990650937e-13,1,1
2,1.70000000000045,1.7,4.50528503392889e-13,4.50528503392889e-13,1,1
3,2.69999999999997,2.7,-2.57571741713036e-14,2.57571741713036e-14,1,1
4,3.70000000000004,3.7,3.81916720471054e-14,3.81916720471054e-14,1,1
5,4.70000000000021,4.7,2.1227464230833e-13,2.1227464230833e-13,1,0.999999999999999
6,5.70000000000002,5.7,1.95399252334028e-14,1.95399252334028e-14,1,0.999999999999999
7,6.69999999999986,6.7,-1.3944401189292e-13,1.3944401189292e-13,1,1
8,7.7000000000004,7.7,3.96127575186256e-13,3.96127575186256e-13,1,1
9,8.7000000000001,8.7,9.9475983006414e-14,9.9475983006414e-14,1,1
