state_index,energy,parity,c_norm,coordinate_norm,central_localization_fraction
0,-0.297959637858034,even,1,0.999999999999999,0.999956025538754
1,0.000565401100617178,odd,1,0.999999999999999,2.32045281477383e-10
2,0.000565401105782192,even,1,1,2.23333130462402e-10
3,0.00226143444665181,odd,1,0.999999999999997,9.42577394666334e-10
4,0.0022614344676476,even,1,1,9.06613641085303e-10
5,0.00508759173138966,odd,1,0.999999999999996,2.1758129255848e-09
6,0.00508759177996947,even,1,1,2.09059095376767e-09
7,0.00904303096471013,odd,1,1,4.00895721018768e-09
8,0.00904303105450472,even,0.999999999999999,0.999999999999997,3.84626885532729e-09
9,0.0141265842013246,odd,1,1,6.55777706620021e-09
10,0.0141265843488315,even,0.999999999999999,0.999999999999999,6.27978074946496e-09
