n,numerical_energy,exact_energy,signed_error,absolute_error,c_norm,coordinate_norm
0,-0.299999999999888,-0.3,1.11854969730985e-13,1.11854969730985e-13,1,1
1,0.700000000000035,0.7,3.46389583683049e-14,3.46389583683049e-14,1,1
2,1.7000000000001,1.7,1.03472785895065e-13,1.03472785895065e-13,1,0.999999999999999
3,2.70000000000124,2.7,1.23723253864227e-12,1.23723253864227e-12,1,0.999999999999997
4,3.70000000003972,3.7,3.97184507505699e-11,3.97184507505699e-11,1,0.999999999999993
5,4.70000000031287,4.7,3.12870618301986e-10,3.12870618301986e-10,1,0.999999999999998
6,5.70000000618343,5.7,6.18342621550028e-09,6.18342621550028e-09,1,1
7,6.70000003395355,6.7,3.3953548417287e-08,3.3953548417287e-08,1,0.999999999999998
8,7.70000045085462,7.7,4.50854616751428e-07,4.50854616751428e-07,1,1
9,8.70000186792175,8.7,1.86792175327355e-06,1.86792175327355e-06,1,0.999999999999999
