state_index,energy,parity,c_norm,coordinate_norm,central_localization_fraction
0,-0.297959602769615,even,1,0.999999999999999,0.999956096671643
1,0.00172887843069536,odd,1,0.999999999999998,1.25394776874824e-09
2,0.0017288784586253,even,1,1,1.20633758500947e-09
3,0.00691274431262375,odd,1,1,5.25467272245813e-09
4,0.00691274443011719,even,1,1,5.04540299972591e-09
5,0.0155433751928132,odd,1,0.999999999999998,1.27709671194712e-08
6,0.0155433754804441,even,1,0.999999999999999,1.22230862352158e-08
7,0.0276073493689895,odd,1,1,2.52711662577855e-08
8,0.0276073499448005,even,1,1,2.40786613246116e-08
9,0.0430864566994961,odd,1,1,4.52538557183222e-08
10,0.0430864577486354,even,1,1,4.2867752191695e-08
